USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24041990000	0	328508987	0.	126.838	38.7019897	-76.3566564                                                                                                                                            
MD	24043000100	1849870	0	0.714	0.	39.6554853	-77.6999156                                                                                                                                                
MD	24043000200	2951808	0	1.14	0.	39.6613881	-77.718994                                                                                                                                                  
MD	24043000301	3201263	0	1.236	0.	39.6562567	-77.7373932                                                                                                                                                
MD	24043000302	552694	0	0.213	0.	39.6494586	-77.7278474                                                                                                                                                 
MD	24043000400	1007300	0	0.389	0.	39.6466503	-77.7208144                                                                                                                                                
MD	24043000500	2100316	0	0.811	0.	39.6464112	-77.7043471                                                                                                                                                
MD	24043000601	1942439	0	0.75	0.	39.6383646	-77.6997416                                                                                                                                                 
MD	24043000602	5585736	0	2.157	0.	39.6189823	-77.7160456                                                                                                                                                
MD	24043000700	1336351	0	0.516	0.	39.6314889	-77.720447                                                                                                                                                 
MD	24043000800	1115963	0	0.431	0.	39.6321924	-77.7281612                                                                                                                                                
MD	24043000900	6399756	26533	2.471	0.01	39.6363999	-77.7563341                                                                                                                                          
MD	24043001001	6632986	0	2.561	0.	39.6195003	-77.7435532                                                                                                                                                
MD	24043001002	4279320	0	1.652	0.	39.6149586	-77.767721                                                                                                                                                 
MD	24043010100	10373192	68393	4.005	0.026	39.6977289	-77.4945899                                                                                                                                        
MD	24043010200	84272778	73363	32.538	0.028	39.6940998	-77.5971904                                                                                                                                       
MD	24043010300	24893929	0	9.612	0.	39.6971773	-77.7119673                                                                                                                                               
MD	24043010400	52091716	407422	20.113	0.157	39.6863304	-77.7769444                                                                                                                                      
MD	24043010500	80510695	1580472	31.085	0.61	39.6580627	-77.8324418                                                                                                                                      
MD	24043010600	188561684	4808825	72.804	1.857	39.664138	-77.9737841                                                                                                                                     
MD	24043010700	138283813	3414251	53.392	1.318	39.6904975	-78.2272917                                                                                                                                    
MD	24043010801	17954061	1165017	6.932	0.45	39.6175367	-77.8218108                                                                                                                                       
MD	24043010802	16770373	580635	6.475	0.224	39.5895516	-77.7992569                                                                                                                                       
MD	24043010900	110021743	4438063	42.48	1.714	39.5425738	-77.7909887                                                                                                                                     
MD	24043011000	4425974	0	1.709	0.	39.5596859	-77.7147954                                                                                                                                                
MD	24043011100	22187275	0	8.567	0.	39.59521	-77.6975643                                                                                                                                                 
MD	24043011201	16335845	0	6.307	0.	39.6326608	-77.6686635                                                                                                                                               
MD	24043011202	33272931	0	12.847	0.	39.6473052	-77.6434817                                                                                                                                              
MD	24043011301	37782589	52448	14.588	0.02	39.6518413	-77.5535734                                                                                                                                        
MD	24043011302	63571050	107704	24.545	0.042	39.577408	-77.6277538                                                                                                                                       
MD	24043011400	48727750	12954	18.814	0.005	39.5192622	-77.6586767                                                                                                                                       
MD	24043011500	142958895	4371670	55.197	1.688	39.4251806	-77.6870374                                                                                                                                    
MD	24043011600	53659605	3693805	20.718	1.426	39.4488885	-77.7553407                                                                                                                                     
MD	24045000100	3151344	18068	1.217	0.007	38.3718951	-75.5828034                                                                                                                                         
MD	24045000200	1593634	129021	0.615	0.05	38.3734507	-75.5981201                                                                                                                                         
MD	24045000300	1093271	107280	0.422	0.041	38.3691595	-75.6077483                                                                                                                                        
MD	24045000400	2545023	288034	0.983	0.111	38.3556849	-75.6076889                                                                                                                                        
MD	24045000500	1874919	40291	0.724	0.016	38.3562567	-75.5922496                                                                                                                                         
MD	24045010101	14187929	224664	5.478	0.087	38.3871716	-75.5692333                                                                                                                                       
MD	24045010102	6795023	190276	2.624	0.073	38.3574766	-75.5573802                                                                                                                                        
MD	24045010200	14538326	123476	5.613	0.048	38.4011208	-75.6163962                                                                                                                                       
MD	24045010300	33335640	1534037	12.871	0.592	38.3749424	-75.653973                                                                                                                                      
MD	24045010400	17607490	1137020	6.798	0.439	38.3279089	-75.6367846                                                                                                                                      
MD	24045010501	9249868	235980	3.571	0.091	38.3167884	-75.6064921                                                                                                                                        
MD	24045010502	8567118	186904	3.308	0.072	38.3419765	-75.5793096                                                                                                                                        
MD	24045010603	66468285	323882	25.664	0.125	38.4306622	-75.518861                                                                                                                                       
MD	24045010604	95680607	304315	36.942	0.117	38.4126148	-75.4036426                                                                                                                                      
MD	24045010605	61222435	311120	23.638	0.12	38.2995593	-75.5401107                                                                                                                                       
MD	24045010606	165474183	440619	63.89	0.17	38.3371643	-75.4180216                                                                                                                                       
MD	24045010701	132081181	9772624	50.997	3.773	38.4623255	-75.7621149                                                                                                                                    
